node_name/poi_id,checkin_cnt,poi_catid,poi_catid_code,poi_catname,latitude,longitude
46ea2358f964a520cf4a1fe3,6,4bf58dd8d48988d11d941735,56,Bar,40.76066701799484,-73.99494767189026
40fb0f00f964a520d90a1fe3,6,4bf58dd8d48988d11b941735,53,Bar,40.76064468176889,-73.9860647444491
428d2880f964a520b5231fe3,57,4bf58dd8d48988d1fa931735,301,Hotel,40.75673068586622,-73.97406974625711
4e742aabc65bb91db3cadb79,3,4bf58dd8d48988d116941735,43,Bar,40.75730501775622,-73.96864018539301
3fd66200f964a520fbe71ee3,6,4bf58dd8d48988d16c941735,148,Burger Joint,40.75881854506599,-73.96865740411552
49d2b43ef964a520cb5b1fe3,11,4bf58dd8d48988d1e0931735,253,Coffee Shop,40.720087,-74.003961
4aab0204f964a520855820e3,6,4bf58dd8d48988d14e941735,118,American Restaurant,40.74131915864618,-74.00611595251165
3fd66200f964a520e9e61ee3,3,4bf58dd8d48988d147941735,111,Diner,40.7337627,-74.006264
467ffefcf964a52019481fe3,8,4bf58dd8d48988d10c941735,24,French Restaurant,40.77917988484352,-73.95085242398278
4e691e82b9930387355c629d,15,4bf58dd8d48988d14e941735,118,American Restaurant,40.72516293205118,-73.992159523528
49dc03d9f964a520445f1fe3,3,4bf58dd8d48988d116941735,43,Bar,40.729658,-73.998515
4d4ac10da0ef54814b6ffff6,5,4bf58dd8d48988d157941735,127,American Restaurant,40.78401843692215,-73.97452399134636
4d9885ae647d8cfa23ccf03d,16,4bf58dd8d48988d1f7941735,296,Flea Market,40.72059136642329,-73.96331906318665
474d3e5df964a520a24c1fe3,15,4bf58dd8d48988d117941735,45,Beer Garden,40.71653437713537,-73.96144836446048
4d1829fae190721e1b3f2021,10,4bf58dd8d48988d16f941735,151,Hot Dog Joint,40.717006,-73.956565
4ad778a8f964a520030b21e3,7,4bf58dd8d48988d11e941735,58,Bar,40.73830503995525,-73.99300887473368
49e17f24f964a520d1611fe3,54,4bf58dd8d48988d180941735,166,Movie Theater,40.774697291507216,-73.98194979831837
4cbfbedea0c4f04d1e085731,56,4bf58dd8d48988d1fd931735,307,Subway,40.73977053760343,-74.00258123874664
44d9e8dbf964a5208a361fe3,23,4bf58dd8d48988d1f5941735,292,Food & Drink Shop,40.72413519041223,-73.99778927450977
4a9efc7af964a520103c20e3,4,4bf58dd8d48988d1e0931735,253,Coffee Shop,40.66144181812587,-73.84009838104248
4b004499f964a520253c22e3,8,4bf58dd8d48988d1f6941735,294,Department Store,40.6523954512296,-73.86983119037848
4d48864b551db1f722e9a330,6,4bf58dd8d48988d175941735,156,Gym / Fitness Center,40.64668883996605,-73.91399171283997
4ad71c45f964a520b50821e3,15,4bf58dd8d48988d1e0931735,253,Coffee Shop,40.74064691662654,-73.99104044018358
49f75667f964a5208b6c1fe3,4,4bf58dd8d48988d1f6941735,294,Department Store,40.72212709991359,-73.99930899378225
4b8f50d9f964a520365133e3,66,4bf58dd8d48988d1fd931735,307,Subway,40.646098782777614,-73.9026689529419
42829c80f964a52025221fe3,8,4bf58dd8d48988d1e0931735,253,Coffee Shop,40.76590104372366,-73.9634343210755
4bad3de2f964a520233d3be3,58,4bf58dd8d48988d12a951735,81,Train Station,40.67692778613304,-73.89869928359985
41102700f964a520d60b1fe3,92,4bf58dd8d48988d1f6941735,294,Department Store,40.75061379403183,-73.98856401443481
4de3cbd8e4cd056f74638556,8,4bf58dd8d48988d1f6941735,294,Department Store,40.773883557841096,-73.98221953946711
4be4a85d910020a1a00ed214,8,4bf58dd8d48988d103951735,7,Clothing Store,40.73458619149583,-73.99009925734258
4a833fa5f964a5207efa1fe3,10,4bf58dd8d48988d103951735,7,Clothing Store,40.73512291106378,-73.99118391277207
4ab7e0d7f964a520417b20e3,16,4bf58dd8d48988d107951735,15,Clothing Store,40.73524837370153,-73.99113800155543
4a3ffdc5f964a5202da41fe3,22,4bf58dd8d48988d1e0931735,253,Coffee Shop,40.73709857380555,-73.99039768167009
4b0737c3f964a520e4f922e3,123,4bf58dd8d48988d1fd931735,307,Subway,40.75650612666626,-73.98802757263184
